unified_id,year,month,revenue
AIR10551482,2022,5,6475
AIR10551482,2022,4,7025
AIR10551482,2022,3,9650
AIR10551482,2022,2,14985
AIR10551482,2022,1,17195
AIR10551482,2021,12,20250
AIR10551482,2021,11,9650
AIR10551482,2021,10,7750
AIR10551482,2021,9,5725
AIR10551482,2021,8,13485
AIR10551482,2021,7,13275
AIR10551482,2021,6,10050
AIR10551482,2021,5,825
AIR10551482,2021,4,2640
AIR10551482,2021,3,4375
AIR10551482,2021,2,15454
AIR10551482,2021,1,10029
AIR10551482,2020,12,13868
AIR10551482,2020,11,7874
AIR10551482,2020,10,3174
AIR10551482,2020,9,2749
AIR10551482,2020,8,6434
AIR10551482,2020,7,8084
AIR10551482,2020,6,1099
AIR10551482,2020,5,3874
AIR10551482,2020,4,3374
AIR10551482,2020,3,4794
AIR10551482,2020,2,8174
AIR10551482,2020,1,9473
AIR10577529,2020,7,0
AIR10577529,2020,6,1514
AIR10577529,2020,5,1359
AIR10577529,2020,4,0
AIR10577529,2020,3,974
AIR10577529,2020,2,1674
AIR10577529,2020,1,2294
AIR10634162,2020,2,0
AIR10634162,2020,1,0
AIR10833910,2022,5,0
AIR10833910,2022,4,0
AIR10833910,2022,3,9300
AIR10833910,2022,2,6189
AIR10833910,2022,1,5480
AIR10833910,2021,12,4250
AIR10833910,2021,11,4939
AIR10833910,2021,10,4611
AIR10833910,2021,9,3739
AIR10833910,2021,8,4929
AIR10833910,2021,7,5052
AIR10833910,2021,6,2544
AIR10833910,2021,5,1554
AIR10833910,2021,4,4611
AIR10833910,2021,3,1749
AIR10833910,2021,2,3171
AIR10833910,2021,1,4912
AIR10833910,2020,12,1254
AIR10833910,2020,11,1749
AIR10833910,2020,10,3424
AIR10833910,2020,9,3329
AIR10833910,2020,8,1474
AIR10833910,2020,7,329
AIR10833910,2020,6,0
AIR10833910,2020,5,1124
AIR10833910,2020,4,1804
AIR10833910,2020,3,1759
AIR10833910,2020,2,990
AIR10833910,2020,1,1401
AIR1096822,2022,3,0
AIR1096822,2022,2,0
AIR1096822,2022,1,0
AIR1096822,2021,12,7500
AIR1096822,2021,11,1500
AIR1096822,2021,5,0
AIR1096822,2021,4,5800
AIR1096822,2021,3,7250
AIR1096822,2021,2,6200
AIR1096822,2021,1,2200
AIR1096822,2020,12,2300
AIR1096822,2020,11,6000
AIR1096822,2020,10,0
AIR1096822,2020,9,0
AIR1096822,2020,8,0
AIR1096822,2020,7,290
AIR1096822,2020,6,0
AIR1096822,2020,5,1699
AIR1096822,2020,4,4073
AIR1096822,2020,3,4364
AIR1096822,2020,2,7565
AIR1096822,2020,1,8993
AIR11098028,2023,5,1703
AIR11098028,2023,4,2556
AIR11098028,2023,3,3312
AIR11098028,2023,2,2741
AIR11098028,2023,1,1510
AIR11098028,2022,12,2772
AIR11098028,2022,11,2616
AIR11098028,2022,10,3153
AIR11098028,2022,9,1848
AIR11098028,2022,8,775
AIR11098028,2022,7,2431
AIR11098028,2022,6,3173
AIR11098028,2022,5,1089
AIR11098028,2022,4,2084
AIR11098028,2022,3,2785
AIR11098028,2022,2,1510
AIR11098028,2022,1,2099
AIR11098028,2021,12,2392
AIR11098028,2021,11,2615
AIR11098028,2021,10,4801
AIR11098028,2021,9,3186
AIR11098028,2021,8,2296
AIR11098028,2021,7,2198
AIR11098028,2021,6,209
